# Hot-molecule IR emission spectrum  (trajectory-averaged local harmonic)
# # Traj dir: outputs/ir_mace_anti_cis_2000K  MACE: outputs/mace_wB97X_20260417/mace_model.pt
# # Dipole: outputs/ir_nm_pes_anti_cis_300K/dipole_surface.pkl
# # Stride: 300  N_samples: 500  FWHM: 30.0 cm-1
# # frequency_cm-1,intensity_normalized
4.460000000000000000e+02,9.927658185278853686e-02
4.470000000000000000e+02,1.032077893240998939e-01
4.480000000000000000e+02,1.072944705198360799e-01
4.490000000000000000e+02,1.115133296902184601e-01
4.500000000000000000e+02,1.158347118233016282e-01
4.510000000000000000e+02,1.202225989098330006e-01
4.520000000000000000e+02,1.246354742046287406e-01
4.530000000000000000e+02,1.290282196099143408e-01
4.540000000000000000e+02,1.333549560426438574e-01
4.550000000000000000e+02,1.375724340211152141e-01
4.560000000000000000e+02,1.416433431878733329e-01
4.570000000000000000e+02,1.455388445491239968e-01
4.580000000000000000e+02,1.492397861980664930e-01
4.590000000000000000e+02,1.527363932580989014e-01
4.600000000000000000e+02,1.560265991315243628e-01
4.610000000000000000e+02,1.591134734033533282e-01
4.620000000000000000e+02,1.620023301101379265e-01
4.630000000000000000e+02,1.646980781763867641e-01
4.640000000000000000e+02,1.672032563525071569e-01
4.650000000000000000e+02,1.695170232978607805e-01
4.660000000000000000e+02,1.716351723808779428e-01
4.670000000000000000e+02,1.735510334999317006e-01
4.680000000000000000e+02,1.752569570357207784e-01
4.690000000000000000e+02,1.767460060790204679e-01
4.700000000000000000e+02,1.780135421547203722e-01
4.710000000000000000e+02,1.790585448126164325e-01
4.720000000000000000e+02,1.798846681524548241e-01
4.730000000000000000e+02,1.805011092529242300e-01
4.740000000000000000e+02,1.809232981023992659e-01
4.750000000000000000e+02,1.811732585935042217e-01
4.760000000000000000e+02,1.812793503791819694e-01
4.770000000000000000e+02,1.812751006027585599e-01
4.780000000000000000e+02,1.811970152747542639e-01
4.790000000000000000e+02,1.810815530558014808e-01
