# Frequency (cm-1)	Intensity (arb. units)
719.16	2.178700e-09
720.50	2.156518e-09
721.83	2.134592e-09
723.17	2.112920e-09
724.50	2.091499e-09
725.84	2.070324e-09
727.17	2.049394e-09
728.50	2.028704e-09
729.84	2.008252e-09
731.17	1.988034e-09
732.51	1.968049e-09
733.84	1.948293e-09
735.18	1.928762e-09
736.51	1.909455e-09
737.84	1.890368e-09
739.18	1.871499e-09
740.51	1.852844e-09
741.85	1.834402e-09
743.18	1.816169e-09
744.52	1.798143e-09
745.85	1.780322e-09
747.18	1.762702e-09
748.52	1.745281e-09
749.85	1.728058e-09
751.19	1.711028e-09
752.52	1.694191e-09
753.85	1.677543e-09
755.19	1.661082e-09
756.52	1.644806e-09
757.86	1.628713e-09
759.19	1.612799e-09
760.53	1.597064e-09
761.86	1.581505e-09
763.19	1.566120e-09
764.53	1.550906e-09
765.86	1.535861e-09
767.20	1.520984e-09
768.53	1.506273e-09
769.87	1.491724e-09
771.20	1.477337e-09
772.53	1.463109e-09
773.87	1.449039e-09
775.20	1.435123e-09
776.54	1.421362e-09
777.87	1.407752e-09
779.21	1.394292e-09
780.54	1.380980e-09
781.87	1.367814e-09
783.21	1.354792e-09
784.54	1.341914e-09
785.88	1.329176e-09
787.21	1.316577e-09
788.55	1.304116e-09
789.88	1.291791e-09
791.21	1.279600e-09
792.55	1.267541e-09
793.88	1.255614e-09
795.22	1.243816e-09
796.55	1.232146e-09
797.89	1.220602e-09
799.22	1.209183e-09
800.55	1.197888e-09
801.89	1.186714e-09
803.22	1.175661e-09
804.56	1.164726e-09
805.89	1.153909e-09
807.23	1.143209e-09
808.56	1.132623e-09
809.89	1.122150e-09
811.23	1.111790e-09
812.56	1.101540e-09
813.90	1.091399e-09
815.23	1.081367e-09
816.56	1.071441e-09
817.90	1.061621e-09
819.23	1.051906e-09
820.57	1.042293e-09
821.90	1.032782e-09
823.24	1.023372e-09
824.57	1.014061e-09
825.90	1.004849e-09
827.24	9.957334e-10
828.57	9.867142e-10
829.91	9.777897e-10
831.24	9.689590e-10
832.58	9.602210e-10
833.91	9.515746e-10
835.24	9.430186e-10
836.58	9.345522e-10
837.91	9.261741e-10
839.25	9.178834e-10
840.58	9.096790e-10
841.92	9.015600e-10
843.25	8.935254e-10
844.58	8.855741e-10
845.92	8.777053e-10
847.25	8.699179e-10
848.59	8.622111e-10
849.92	8.545839e-10
851.26	8.470353e-10
852.59	8.395645e-10
853.92	8.321705e-10
855.26	8.248526e-10
