# Digitized MVKO experimental IR spectrum — Chung & Lee 2021
# # Source: Chung, C. A.; Lee, Y. P. Commun Chem 2021, 4(1), 8.  DOI: 10.1038/s42004-021-00444-6
# # Panel (a): anti-cis MVKO, 5-10 µs transient FTIR, "processed"
# # Digitization: pixel-intensity scan; achromatic+blue-marker trace;
# #   gray-box regions (1248-1464 & 1140-1245 cm-1) searched below top border.
# # Zero baseline (dashed line in figure) at panel_row 122.5/136.
# # Y-calibration: 4.21×10⁻⁵ ΔAbs per pixel from y=2×10⁻³ tick at row 75.
# # frequency_cm-1,delta_abs_raw,delta_abs_smoothed
1.222963999999999942e+03,1.894499999999999971e-04,1.052500000000000104e-04
1.222253000000000156e+03,1.894499999999999971e-04,1.052500000000000104e-04
1.221541999999999916e+03,1.052499999999999969e-04,1.052500000000000104e-04
1.220831000000000131e+03,1.052499999999999969e-04,1.052500000000000104e-04
1.220119999999999891e+03,1.052499999999999969e-04,1.052500000000000104e-04
1.219409000000000106e+03,1.052499999999999969e-04,1.052500000000000104e-04
1.218698000000000093e+03,1.052499999999999969e-04,1.052500000000000104e-04
1.217987000000000080e+03,1.052499999999999969e-04,1.052500000000000104e-04
1.217276000000000067e+03,1.052499999999999969e-04,1.052500000000000104e-04
1.216565000000000055e+03,1.052499999999999969e-04,1.052500000000000104e-04
1.215854000000000042e+03,1.894499999999999971e-04,1.052500000000000104e-04
1.215143000000000029e+03,1.894499999999999971e-04,1.052500000000000104e-04
1.214432000000000016e+03,1.052499999999999969e-04,1.052500000000000104e-04
1.213721000000000004e+03,1.052499999999999969e-04,1.052725372419373025e-04
1.213009999999999991e+03,1.052499999999999969e-04,1.055322596975751903e-04
1.212298999999999978e+03,1.052499999999999969e-04,1.074513634924355852e-04
1.211587999999999965e+03,1.052499999999999969e-04,1.165435358158544392e-04
1.210876999999999953e+03,1.052499999999999969e-04,1.441631166093688304e-04
1.210165999999999940e+03,1.052499999999999969e-04,1.979512019065776413e-04
1.209454999999999927e+03,3.578499999999999975e-04,2.650471991135848579e-04
1.208744000000000142e+03,3.578499999999999975e-04,3.182030955598193103e-04
1.208032999999999902e+03,5.262500000000000250e-04,3.427919522455274439e-04
1.207322000000000116e+03,5.262500000000000250e-04,3.426775976377748252e-04
1.206611000000000104e+03,5.262500000000000250e-04,3.266648355289059383e-04
1.205900000000000091e+03,2.736500000000000109e-04,3.045303675315816252e-04
1.205189000000000078e+03,2.736500000000000109e-04,2.866247950767791797e-04
1.204478000000000065e+03,2.736500000000000109e-04,2.774615552215473459e-04
1.203767000000000053e+03,1.894499999999999971e-04,2.747506817462178389e-04
1.203056000000000040e+03,1.894499999999999971e-04,2.756263425351675005e-04
1.202345000000000027e+03,1.894499999999999971e-04,2.801430318488739115e-04
1.201634000000000015e+03,2.736500000000000109e-04,2.891014523867595047e-04
1.200923000000000002e+03,4.420499999999999842e-04,3.002985476132405645e-04
1.200211999999999989e+03,5.262500000000000250e-04,3.092682367720947360e-04
1.199500999999999976e+03,4.841499999999999775e-04,3.139147873136201587e-04
1.198789999999999964e+03,3.157500000000000042e-04,3.157500000000000042e-04
1.198078999999999951e+03,2.736500000000000109e-04,3.175927251003589922e-04
1.197367999999999938e+03,2.736500000000000109e-04,3.223596556566696173e-04
1.196657000000000153e+03,2.736500000000000109e-04,3.323586297639341352e-04
1.195945999999999913e+03,3.578499999999999975e-04,3.494651047905120720e-04
1.195235000000000127e+03,3.578499999999999975e-04,3.812758231586764598e-04
1.194523999999999887e+03,3.578499999999999975e-04,4.452140302693362284e-04
1.193813000000000102e+03,4.420499999999999842e-04,5.495139698114059413e-04
1.193102000000000089e+03,8.209499999999999784e-04,6.663005889586045291e-04
1.192391000000000076e+03,8.209499999999999784e-04,7.456362651551755273e-04
1.191680000000000064e+03,8.209499999999999784e-04,7.578772724011428831e-04
1.190969000000000051e+03,8.209499999999999784e-04,7.093937014881721318e-04
1.190258000000000038e+03,4.841499999999999775e-04,6.339792647469743529e-04
1.189547000000000025e+03,3.999499999999999908e-04,5.716148301813577057e-04
1.188836000000000013e+03,4.420499999999999842e-04,5.394257917851635366e-04
1.188125000000000000e+03,5.262500000000000250e-04,5.288182574078415877e-04
1.187413999999999987e+03,5.262500000000000250e-04,5.265755467735148574e-04
