# Equilibrium harmonic reference (FWHM=10 cm-1)
# # frequency_cm-1,intensity_normalized
4.680000000000000000e+02,1.018500848418124778e-02
4.690000000000000000e+02,1.050612024142053014e-02
4.700000000000000000e+02,1.088135128956492850e-02
4.710000000000000000e+02,1.131432723950932112e-02
4.720000000000000000e+02,1.180961749781443519e-02
4.730000000000000000e+02,1.237283198876512093e-02
4.740000000000000000e+02,1.301073924763006609e-02
4.750000000000000000e+02,1.373140785247816895e-02
4.760000000000000000e+02,1.454437205037503907e-02
4.770000000000000000e+02,1.546082059914590141e-02
4.780000000000000000e+02,1.649380468472360153e-02
4.790000000000000000e+02,1.765845539218279664e-02
4.800000000000000000e+02,1.897219226421796925e-02
4.810000000000000000e+02,2.045488998314974605e-02
4.820000000000000000e+02,2.212894729184646664e-02
4.830000000000000000e+02,2.401916699552494525e-02
4.840000000000000000e+02,2.615230335042570409e-02
4.850000000000000000e+02,2.855605829649765851e-02
4.860000000000000000e+02,3.125720827357320042e-02
4.870000000000000000e+02,3.427842504107054405e-02
4.880000000000000000e+02,3.763324500602545364e-02
4.890000000000000000e+02,4.131861418980811718e-02
4.900000000000000000e+02,4.530463665642477794e-02
4.910000000000000000e+02,4.952182396510852042e-02
4.920000000000000000e+02,5.384757167390729488e-02
4.930000000000000000e+02,5.809589649384645088e-02
4.940000000000000000e+02,6.201712053914262140e-02
4.950000000000000000e+02,6.531541588786911323e-02
4.960000000000000000e+02,6.768904609866399635e-02
4.970000000000000000e+02,6.888886841061719890e-02
4.980000000000000000e+02,6.877804888723308696e-02
4.990000000000000000e+02,6.736883847594170305e-02
5.000000000000000000e+02,6.481915555519519867e-02
5.010000000000000000e+02,6.139064346824200241e-02
5.020000000000000000e+02,5.738757765036459763e-02
5.030000000000000000e+02,5.310044138990677176e-02
5.040000000000000000e+02,4.876930412553436706e-02
5.050000000000000000e+02,4.456958805989453404e-02
5.060000000000000000e+02,4.061449580902050382e-02
5.070000000000000000e+02,3.696617260014380124e-02
5.080000000000000000e+02,3.364930587848210392e-02
5.090000000000000000e+02,3.066354443351741038e-02
5.100000000000000000e+02,2.799329826945865310e-02
5.110000000000000000e+02,2.561477158363428472e-02
5.120000000000000000e+02,2.350065690398087798e-02
5.130000000000000000e+02,2.162306920175213754e-02
5.140000000000000000e+02,1.995525094774611499e-02
5.150000000000000000e+02,1.847246530966519668e-02
5.160000000000000000e+02,1.715237821016842718e-02
5.170000000000000000e+02,1.597513410103952244e-02
5.180000000000000000e+02,1.492325927003249064e-02
5.190000000000000000e+02,1.398147703363036842e-02
5.200000000000000000e+02,1.313648614201183562e-02
5.210000000000000000e+02,1.237673235270474875e-02
5.220000000000000000e+02,1.169218966536448960e-02
5.230000000000000000e+02,1.107415944452246927e-02
5.240000000000000000e+02,1.051509073043692226e-02
5.250000000000000000e+02,1.000842221358396247e-02
5.260000000000000000e+02,9.548444821831751639e-03
5.270000000000000000e+02,9.130183127339474083e-03
5.280000000000000000e+02,8.749293499513205105e-03
5.290000000000000000e+02,8.401976910487312517e-03
5.300000000000000000e+02,8.084904418251208369e-03
5.310000000000000000e+02,7.795153536524721330e-03
5.320000000000000000e+02,7.530153907207091935e-03
5.330000000000000000e+02,7.287640896896895905e-03
5.340000000000000000e+02,7.065615931207348127e-03
5.350000000000000000e+02,6.862312553753525425e-03
5.360000000000000000e+02,6.676167349037706936e-03
5.370000000000000000e+02,6.505795000431944392e-03
5.380000000000000000e+02,6.349966867576615007e-03
5.390000000000000000e+02,6.207592563780411736e-03
5.400000000000000000e+02,6.077704095540203966e-03
5.410000000000000000e+02,5.959442195145488001e-03
5.420000000000000000e+02,5.852044535368429098e-03
5.430000000000000000e+02,5.754835564135113435e-03
5.440000000000000000e+02,5.667217738280103285e-03
5.450000000000000000e+02,5.588663970253321053e-03
5.460000000000000000e+02,5.518711131039563678e-03
5.470000000000000000e+02,5.456954477467025090e-03
5.480000000000000000e+02,5.403042893282502049e-03
5.490000000000000000e+02,5.356674851498186701e-03
5.500000000000000000e+02,5.317595021109674386e-03
5.510000000000000000e+02,5.285591454804119786e-03
5.520000000000000000e+02,5.260493306112105916e-03
5.530000000000000000e+02,5.242169034940512805e-03
5.540000000000000000e+02,5.230525069846771354e-03
5.550000000000000000e+02,5.225504904033268991e-03
5.560000000000000000e+02,5.227088610083425145e-03
5.570000000000000000e+02,5.235292766139552738e-03
5.580000000000000000e+02,5.250170793736270471e-03
5.590000000000000000e+02,5.271813715046802344e-03
5.600000000000000000e+02,5.300351345068874537e-03
5.610000000000000000e+02,5.335953942476052113e-03
5.620000000000000000e+02,5.378834351707597813e-03
5.630000000000000000e+02,5.429250678605687316e-03
5.640000000000000000e+02,5.487509552802868375e-03
5.650000000000000000e+02,5.553970042423806742e-03
5.660000000000000000e+02,5.629048300850768988e-03
5.670000000000000000e+02,5.713223041730378614e-03
5.680000000000000000e+02,5.807041957560619971e-03
5.690000000000000000e+02,5.911129219672650939e-03
5.700000000000000000e+02,6.026194223896288137e-03
5.710000000000000000e+02,6.153041777478877872e-03
5.720000000000000000e+02,6.292583959863653868e-03
