# Hot-molecule IR emission spectrum  (trajectory-averaged local harmonic)
# # Traj dir: outputs/ir_mace_syn_trans_300K  MACE: outputs/mace_wB97X_20260417/mace_model.pt
# # Dipole: outputs/ir_nm_pes_syn_trans_300K/dipole_surface.pkl
# # Stride: 300  N_samples: 500  FWHM: 15.0 cm-1
# # frequency_cm-1,intensity_normalized
3.290000000000000000e+02,5.508226252117544297e-02
3.300000000000000000e+02,5.560270959951991998e-02
3.310000000000000000e+02,5.680580529564666775e-02
3.320000000000000000e+02,5.859073879227375686e-02
3.330000000000000000e+02,6.074866866152690142e-02
3.340000000000000000e+02,6.295952839163883319e-02
3.350000000000000000e+02,6.482838428098282313e-02
3.360000000000000000e+02,6.597604212035240723e-02
3.370000000000000000e+02,6.615846075718886943e-02
3.380000000000000000e+02,6.534894682258614307e-02
3.390000000000000000e+02,6.372905542973476833e-02
3.400000000000000000e+02,6.159926558435059596e-02
3.410000000000000000e+02,5.926871321805882165e-02
3.420000000000000000e+02,5.697256122198489370e-02
3.430000000000000000e+02,5.483190340075263375e-02
3.440000000000000000e+02,5.285405308963124493e-02
3.450000000000000000e+02,5.096634301420529395e-02
3.460000000000000000e+02,4.906954138221845257e-02
3.470000000000000000e+02,4.708965561654384485e-02
3.480000000000000000e+02,4.500762058261717491e-02
3.490000000000000000e+02,4.285704920792836325e-02
3.500000000000000000e+02,4.069755789615978753e-02
3.510000000000000000e+02,3.858564641034915171e-02
3.520000000000000000e+02,3.656271450502972947e-02
3.530000000000000000e+02,3.466110889443396736e-02
3.540000000000000000e+02,3.291373783287086102e-02
3.550000000000000000e+02,3.135529618793344436e-02
3.560000000000000000e+02,3.001595809080648269e-02
3.570000000000000000e+02,2.891514706938946508e-02
3.580000000000000000e+02,2.805991979631230690e-02
3.590000000000000000e+02,2.744736363044635724e-02
3.600000000000000000e+02,2.706862304961886803e-02
3.610000000000000000e+02,2.691299002405434654e-02
3.620000000000000000e+02,2.697148328513180801e-02
3.630000000000000000e+02,2.723938216243946414e-02
3.640000000000000000e+02,2.771665090962384739e-02
3.650000000000000000e+02,2.840505756011930602e-02
3.660000000000000000e+02,2.930151671191497803e-02
3.670000000000000000e+02,3.038845799366723596e-02
3.680000000000000000e+02,3.162365208082585505e-02
3.690000000000000000e+02,3.293432805167609972e-02
3.700000000000000000e+02,3.422285634216002542e-02
3.710000000000000000e+02,3.538941691821968771e-02
3.720000000000000000e+02,3.636617279371985589e-02
3.730000000000000000e+02,3.714353389196090038e-02
3.740000000000000000e+02,3.777027953662477622e-02
3.750000000000000000e+02,3.833028116241155026e-02
3.760000000000000000e+02,3.891531559378896832e-02
3.770000000000000000e+02,3.960752292099035260e-02
3.780000000000000000e+02,4.047109661902773686e-02
3.790000000000000000e+02,4.155035045123379317e-02
3.800000000000000000e+02,4.287606553819702654e-02
3.810000000000000000e+02,4.448025907994753586e-02
3.820000000000000000e+02,4.641087614520581633e-02
3.830000000000000000e+02,4.873369941168617658e-02
3.840000000000000000e+02,5.151569283238636998e-02
3.850000000000000000e+02,5.479508992035280607e-02
3.860000000000000000e+02,5.854862559513248493e-02
3.870000000000000000e+02,6.266664283326658924e-02
3.880000000000000000e+02,6.694964539653076863e-02
3.890000000000000000e+02,7.114183843635611681e-02
3.900000000000000000e+02,7.500259741771420074e-02
3.910000000000000000e+02,7.838196719994575123e-02
3.920000000000000000e+02,8.124570782703161020e-02
