# Hot-molecule IR emission spectrum  (trajectory-averaged local harmonic)
# # Traj dir: outputs/ir_mace_nm_dipole_anti_cis_300K  MACE: outputs/mace_wB97X_20260417/mace_model.pt
# # Dipole: outputs/ir_nm_pes_anti_cis_300K/dipole_surface.pkl
# # Stride: 300  N_samples: 500  FWHM: 15.0 cm-1
# # frequency_cm-1,intensity_normalized
1.430000000000000000e+02,3.241591417396203802e-03
1.440000000000000000e+02,3.306850216555924735e-03
1.450000000000000000e+02,3.378631608382494118e-03
1.460000000000000000e+02,3.458021724252130415e-03
1.470000000000000000e+02,3.546323401207545148e-03
1.480000000000000000e+02,3.645096131224382936e-03
1.490000000000000000e+02,3.756195798942512775e-03
1.500000000000000000e+02,3.881805475587359316e-03
1.510000000000000000e+02,4.024439479812177284e-03
1.520000000000000000e+02,4.186886990660818909e-03
1.530000000000000000e+02,4.372035303861581540e-03
1.540000000000000000e+02,4.582474188252912833e-03
1.550000000000000000e+02,4.819737313269759245e-03
1.560000000000000000e+02,5.083013976112151985e-03
1.570000000000000000e+02,5.367246805969656462e-03
1.580000000000000000e+02,5.660874460867294615e-03
1.590000000000000000e+02,5.944228943267951780e-03
1.600000000000000000e+02,6.190536363430235514e-03
1.610000000000000000e+02,6.371487489465439864e-03
1.620000000000000000e+02,6.466872876195757687e-03
1.630000000000000000e+02,6.473472919815998622e-03
1.640000000000000000e+02,6.406941555485271694e-03
1.650000000000000000e+02,6.295220154560275845e-03
1.660000000000000000e+02,6.168464594229775867e-03
1.670000000000000000e+02,6.051564969737179174e-03
1.680000000000000000e+02,5.961500200786147910e-03
1.690000000000000000e+02,5.908222617975941553e-03
1.700000000000000000e+02,5.896910497169856498e-03
1.710000000000000000e+02,5.930179965195520563e-03
1.720000000000000000e+02,6.009741346201593303e-03
1.730000000000000000e+02,6.137483063829028869e-03
1.740000000000000000e+02,6.316126955040925715e-03
1.750000000000000000e+02,6.549593666229663706e-03
1.760000000000000000e+02,6.843154052110199566e-03
1.770000000000000000e+02,7.203363493720072591e-03
1.780000000000000000e+02,7.637687906076513940e-03
1.790000000000000000e+02,8.153631301526400796e-03
1.800000000000000000e+02,8.757072377396521445e-03
1.810000000000000000e+02,9.449446066253752718e-03
1.820000000000000000e+02,1.022345719387759283e-02
1.830000000000000000e+02,1.105739918159252128e-02
1.840000000000000000e+02,1.190924017503689099e-02
1.850000000000000000e+02,1.271359534954022083e-02
1.860000000000000000e+02,1.338636292001972421e-02
1.870000000000000000e+02,1.384027190010573422e-02
1.880000000000000000e+02,1.400847068469318613e-02
1.890000000000000000e+02,1.386656947113882633e-02
1.900000000000000000e+02,1.344212746340767151e-02
1.910000000000000000e+02,1.280591203563228447e-02
1.920000000000000000e+02,1.204892234051645368e-02
1.930000000000000000e+02,1.125720612343419740e-02
1.940000000000000000e+02,1.049573617628591325e-02
1.950000000000000000e+02,9.804384560702924384e-03
1.960000000000000000e+02,9.202008534532209530e-03
1.970000000000000000e+02,8.693254214027296839e-03
1.980000000000000000e+02,8.274697396818238987e-03
1.990000000000000000e+02,7.939174653026780451e-03
2.000000000000000000e+02,7.678395619677761547e-03
2.010000000000000000e+02,7.484333824882842719e-03
2.020000000000000000e+02,7.349909653370994417e-03
2.030000000000000000e+02,7.269374156801264135e-03
2.040000000000000000e+02,7.238645374741410794e-03
2.050000000000000000e+02,7.255631835092354008e-03
2.060000000000000000e+02,7.320378358438134857e-03
2.070000000000000000e+02,7.434852471391433307e-03
2.080000000000000000e+02,7.602354489693726944e-03
2.090000000000000000e+02,7.826628303383617244e-03
2.100000000000000000e+02,8.110614083073036662e-03
2.110000000000000000e+02,8.454555737832245704e-03
2.120000000000000000e+02,8.853090957298555622e-03
2.130000000000000000e+02,9.291230472082991770e-03
2.140000000000000000e+02,9.740057891353289671e-03
2.150000000000000000e+02,1.015469083905672261e-02
2.160000000000000000e+02,1.047865898368874511e-02
2.170000000000000000e+02,1.065766207104804249e-02
2.180000000000000000e+02,1.065923002583385806e-02
2.190000000000000000e+02,1.048691618016164666e-02
2.200000000000000000e+02,1.017847515649314416e-02
2.210000000000000000e+02,9.789457038926901306e-03
2.220000000000000000e+02,9.374015372599764709e-03
2.230000000000000000e+02,8.973058186303525460e-03
2.240000000000000000e+02,8.611532520436098598e-03
2.250000000000000000e+02,8.301245379007180306e-03
2.260000000000000000e+02,8.045277888331913221e-03
2.270000000000000000e+02,7.841829817332217345e-03
2.280000000000000000e+02,7.686876201538107856e-03
2.290000000000000000e+02,7.575761374703774385e-03
2.300000000000000000e+02,7.504053262742866638e-03
2.310000000000000000e+02,7.467947867023694113e-03
2.320000000000000000e+02,7.464425514100011920e-03
2.330000000000000000e+02,7.491282046690499706e-03
